




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of cellular protein localization (GO:1903829)	278	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular protein localization (GO:1903828)	127	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of cellular protein localization (GO:1903827)	556	0	.38	-	 < 0.01	1.00E00	1.00E00
arginine transmembrane transport (GO:1903826)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
organic acid transmembrane transport (GO:1903825)	114	0	.08	-	 < 0.01	1.00E00	1.00E00
plasma membrane copper ion transport (GO:0015679)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
copper ion import (GO:0015677)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
vanadium ion transport (GO:0015676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nickel cation transport (GO:0015675)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxygen transport (GO:0015671)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
carbon dioxide transport (GO:0015670)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine omega-N-methylation (GO:0035247)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine N-methylation (GO:0035246)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of voltage-gated potassium channel activity (GO:1903818)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of voltage-gated potassium channel activity (GO:1903817)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of collecting lymphatic vessel constriction (GO:1903816)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of collecting lymphatic vessel constriction (GO:1903815)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of collecting lymphatic vessel constriction (GO:1903814)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
gas transport (GO:0015669)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
L-serine import across plasma membrane (GO:1903812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-histidine import across plasma membrane (GO:1903810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor signaling pathway (GO:0035235)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
ectopic germ cell programmed cell death (GO:0035234)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine import across plasma membrane (GO:1903804)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-glutamine import across plasma membrane (GO:1903803)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-leucine import across plasma membrane (GO:1903801)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate-cysteine ligase activity (GO:0035229)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate-cysteine ligase activity (GO:0035227)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron-glial cell signaling (GO:0150099)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
glial cell-neuron signaling (GO:0150098)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
amyloid-beta clearance by cellular catabolic process (GO:0150094)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
amyloid-beta clearance by transcytosis (GO:0150093)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
multiple spine synapse organization, single dendrite (GO:0150090)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell competition in a multicellular organism (GO:0035212)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
multiple spine synapse organization (GO:0150089)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuroinflammatory response (GO:0150079)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuroinflammatory response (GO:0150078)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neuroinflammatory response (GO:0150077)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
neuroinflammatory response (GO:0150076)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein-glutamine gamma-glutamyltransferase activity (GO:0150074)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein-glutamine gamma-glutamyltransferase activity (GO:0150073)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of arginase activity (GO:0150072)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of arginase activity (GO:0150070)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transport of virus (GO:0046794)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of deacetylase activity (GO:0150066)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of deacetylase activity (GO:0150065)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
vertebrate eye-specific patterning (GO:0150064)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
visual system development (GO:0150063)	390	0	.27	-	 < 0.01	1.00E00	1.00E00
complement-mediated synapse pruning (GO:0150062)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
viral replication complex formation and maintenance (GO:0046786)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule polymerization (GO:0046785)	33	0	.02	-	 < 0.01	1.00E00	1.00E00
viral mRNA export from host cell nucleus (GO:0046784)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of viral transcription (GO:0046782)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
protein autophosphorylation (GO:0046777)	194	0	.13	-	 < 0.01	1.00E00	1.00E00
viral budding from plasma membrane (GO:0046761)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to lysosome (GO:0150033)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to lysosome (GO:0150032)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to lysosome (GO:0150031)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
viral budding (GO:0046755)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
viral exocytosis (GO:0046754)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
non-lytic viral release (GO:0046753)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid biosynthetic process (GO:0042398)	36	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphagen biosynthetic process (GO:0042396)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of membrane potential (GO:0042391)	452	0	.31	-	 < 0.01	1.00E00	1.00E00
oxidised low-density lipoprotein particle clearance (GO:0150024)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
basal dendrite arborization (GO:0150020)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcytosis (GO:1904298)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERAD pathway (GO:1904294)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
viral capsid secondary envelopment (GO:0046745)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERAD pathway (GO:1904293)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ERAD pathway (GO:1904292)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to non-motile cilium (GO:0097499)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic DNA damage checkpoint (GO:1904291)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitotic DNA damage checkpoint (GO:1904290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endothelial tube lumen extension (GO:0097498)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
blood vessel endothelial cell delamination (GO:0097497)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of vesicle size (GO:0097494)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
response to histamine (GO:0034776)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transport (GO:0034775)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron projection guidance (GO:0097491)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 trimethylation (GO:0034773)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
sympathetic neuron projection extension (GO:0097490)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4-K20 methylation (GO:0034770)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
basal dendrite morphogenesis (GO:0150019)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
basal dendrite development (GO:0150018)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuron projection arborization (GO:0150012)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of neuron projection arborization (GO:0150011)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic DNA damage checkpoint (GO:1904289)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:1904283)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:1904282)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
basement membrane disassembly (GO:0034769)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron projection guidance (GO:0097485)	235	0	.16	-	 < 0.01	1.00E00	1.00E00
vitamin K catabolic process (GO:0042377)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phylloquinone catabolic process (GO:0042376)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of ion transmembrane transport (GO:0034767)	189	0	.13	-	 < 0.01	1.00E00	1.00E00
dendrite extension (GO:0097484)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transmembrane transport (GO:0034766)	105	0	.07	-	 < 0.01	1.00E00	1.00E00
phylloquinone metabolic process (GO:0042374)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ion transmembrane transport (GO:0034765)	493	0	.34	-	 < 0.01	1.00E00	1.00E00
vitamin K metabolic process (GO:0042373)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transmembrane transport (GO:0034764)	249	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of transmembrane transport (GO:0034763)	136	0	.09	-	 < 0.01	1.00E00	1.00E00
vitamin K biosynthetic process (GO:0042371)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transmembrane transport (GO:0034762)	593	0	.40	-	 < 0.01	1.00E00	1.00E00
positive regulation of iron ion transmembrane transport (GO:0034761)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron ion transmembrane transport (GO:0034760)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin-dependent synaptic vesicle endocytosis (GO:0150007)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of spontaneous synaptic transmission (GO:0150003)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation by virus of viral protein levels in host cell (GO:0046726)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation by virus of viral protein levels in host cell (GO:0046725)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tricellular tight junction assembly (GO:1904274)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-alanine import across plasma membrane (GO:1904273)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxalic acid secretion (GO:0046724)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle localization (GO:0097479)	51	0	.03	-	 < 0.01	1.00E00	1.00E00
lactic acid secretion (GO:0046722)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-proline import across plasma membrane (GO:1904271)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyroptosome complex assembly (GO:1904270)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lateral motor column neuron migration (GO:0097477)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin D catabolic process (GO:0042369)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
citric acid secretion (GO:0046720)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin D biosynthetic process (GO:0042368)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transmembrane transport (GO:0034759)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
spinal cord motor neuron migration (GO:0097476)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
motor neuron migration (GO:0097475)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of iron ion transport (GO:0034758)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of iron ion transport (GO:0034757)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal cone cell apoptotic process (GO:0097474)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cobalamin catabolic process (GO:0042366)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transport (GO:0034756)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
retinal rod cell apoptotic process (GO:0097473)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin catabolic process (GO:0042365)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin biosynthetic process (GO:0042364)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transport (GO:0034755)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin catabolic process (GO:0042363)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular hormone metabolic process (GO:0034754)	101	0	.07	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin biosynthetic process (GO:0042362)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
menaquinone catabolic process (GO:0042361)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin E metabolic process (GO:0042360)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane disassembly (GO:0030397)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
fructosamine catabolic process (GO:0030392)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation by virus of viral protein levels in host cell (GO:0046719)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of Schwann cell chemotaxis (GO:1904268)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
viral entry into host cell (GO:0046718)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of Schwann cell chemotaxis (GO:1904266)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
muscle cell cellular homeostasis (GO:0046716)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of TORC1 signaling (GO:1904263)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of TORC1 signaling (GO:1904262)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
borate transport (GO:0046713)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP catabolic process (GO:0046712)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP biosynthetic process (GO:0046711)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
programmed cell death in response to reactive oxygen species (GO:0097468)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP metabolic process (GO:0046710)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin D metabolic process (GO:0042359)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent glycoprotein ERAD pathway (GO:0097466)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate metabolic process (GO:0042357)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose salvage (GO:0042352)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' GDP-L-fucose biosynthetic process (GO:0042351)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose biosynthetic process (GO:0042350)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
fructosamine metabolic process (GO:0030389)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate metabolic process (GO:0030388)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrion organization (GO:0030382)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
IDP catabolic process (GO:0046709)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of iron ion transmembrane transporter activity (GO:1904256)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IDP metabolic process (GO:0046707)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP biosynthetic process (GO:0046705)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of iron ion transmembrane transporter activity (GO:1904254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP metabolic process (GO:0046704)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of bile acid metabolic process (GO:1904253)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of bile acid metabolic process (GO:1904252)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of bile acid metabolic process (GO:1904251)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-threonine phosphorylation (GO:0010799)	47	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of polynucleotide adenylyltransferase activity (GO:1904247)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of multivesicular body size (GO:0010796)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of polynucleotide adenylyltransferase activity (GO:1904246)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquinone biosynthetic process (GO:0010795)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of polynucleotide adenylyltransferase activity (GO:1904245)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of pancreatic trypsinogen secretion (GO:1904244)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA export from nucleus (GO:0010793)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of pancreatic trypsinogen secretion (GO:1904242)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monoterpenoid metabolic process (GO:0016098)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904240)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
keratan sulfate metabolic process (GO:0042339)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
polyprenol catabolic process (GO:0016095)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-K79 methylation (GO:0034729)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyprenol biosynthetic process (GO:0016094)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleosome organization (GO:0034728)	114	0	.08	-	 < 0.01	1.00E00	1.00E00
polyprenol metabolic process (GO:0016093)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cuticle development (GO:0042335)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA replication-independent nucleosome organization (GO:0034724)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication-dependent nucleosome organization (GO:0034723)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
taxis (GO:0042330)	497	0	.34	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 demethylation (GO:0034720)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904239)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic sister chromatid cohesion involved in meiosis I (GO:0010789)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pericyte cell differentiation (GO:1904238)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904237)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904235)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of aconitate hydratase activity (GO:1904234)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of aconitate hydratase activity (GO:1904232)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of succinate dehydrogenase activity (GO:1904231)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break formation involved in reciprocal meiotic recombination (GO:0010780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
supramolecular fiber organization (GO:0097435)	502	0	.34	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle priming (GO:0016082)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle docking (GO:0016081)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle targeting (GO:0016080)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian sleep/wake cycle, non-REM sleep (GO:0042323)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian sleep/wake cycle, REM sleep (GO:0042322)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian sleep/wake cycle, sleep (GO:0042321)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of circadian sleep/wake cycle, REM sleep (GO:0042320)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of succinate dehydrogenase activity (GO:1904229)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen synthase activity, transferring glucose-1-phosphate (GO:1904227)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glycogen synthase activity, transferring glucose-1-phosphate (GO:1904226)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle exocytosis (GO:0016079)	57	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA catabolic process (GO:0016078)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of serine C-palmitoyltransferase activity (GO:1904222)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA catabolic process (GO:0016077)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of serine C-palmitoyltransferase activity (GO:1904221)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein maturation by iron-sulfur cluster transfer (GO:0097428)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNA catabolic process (GO:0016076)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	98	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of serine C-palmitoyltransferase activity (GO:1904220)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA catabolic process (GO:0016075)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA metabolic process (GO:0016074)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNA metabolic process (GO:0016073)	34	0	.02	-	 < 0.01	1.00E00	1.00E00
penicillin metabolic process (GO:0042316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA metabolic process (GO:0016072)	211	0	.14	-	 < 0.01	1.00E00	1.00E00
mRNA metabolic process (GO:0016071)	538	0	.37	-	 < 0.01	1.00E00	1.00E00
RNA metabolic process (GO:0016070)	1210	0	.83	-	 < 0.01	1.00E00	1.00E00
liver regeneration (GO:0097421)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase C deactivation (GO:0042313)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vasodilation (GO:0042311)	45	0	.03	-	 < 0.01	1.00E00	1.00E00
vasoconstriction (GO:0042310)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cell morphogenesis involved in differentiation (GO:0010769)	116	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904219)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:1904217)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010767)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transport (GO:0010766)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transport (GO:0010765)	43	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of fibroblast migration (GO:0010764)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast migration (GO:0010763)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of iodide transmembrane transport (GO:1904213)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of fibroblast migration (GO:0010762)	42	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of iodide transmembrane transport (GO:1904212)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fibroblast migration (GO:0010761)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane protein proteolysis involved in retrograde protein transport, ER to cytosol (GO:1904211)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage chemotaxis (GO:0010760)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
homoiothermy (GO:0042309)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein import into nucleus (GO:0042308)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
immunoglobulin mediated immune response (GO:0016064)	269	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein import into nucleus (GO:0042307)	53	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of protein import into nucleus (GO:0042306)	75	0	.05	-	 < 0.01	1.00E00	1.00E00
adaptation of rhodopsin mediated signaling (GO:0016062)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid biosynthetic process (GO:0042304)	43	0	.03	-	 < 0.01	1.00E00	1.00E00
hypoxia-inducible factor-1alpha signaling pathway (GO:0097411)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
molting cycle (GO:0042303)	110	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell migration (GO:0030336)	283	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell migration (GO:0030335)	566	0	.39	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage chemotaxis (GO:0010759)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage chemotaxis (GO:0010758)	34	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasminogen activation (GO:0010757)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasminogen activation (GO:0010756)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
